txn_id,customer_id,account_id,txn_date,txn_timestamp,amount,direction,category,mcc_code,merchant_name,merchant_city,channel,payment_ref,balance_after,is_international
TXN-0000001,C-00000001,ACC-C00000001-001,2024-11-25,2024-11-26T03:52:08.900Z,1481500.00,credit,salary_credit,,,Bangalore,neft,Infosys Limited,2331500.00,0
TXN-0000002,C-00000001,ACC-C00000001-001,2024-07-31,2024-08-01T02:47:16.921Z,398.00,debit,fee,,,Mumbai,branch,,2331102.00,0
TXN-0000003,C-00000001,ACC-C00000001-001,2024-02-05,2024-02-06T13:01:58.942Z,446.00,debit,fee,,,Mumbai,branch,,2330656.00,0
TXN-0000004,C-00000001,ACC-C00000001-001,2024-10-06,2024-10-07T15:55:47.187Z,1481500.00,credit,salary_credit,,,Bangalore,neft,Infosys Limited,3812156.00,0
TXN-0000005,C-00000001,ACC-C00000001-001,2024-06-23,2024-06-24T00:46:21.867Z,44262.00,credit,transfer,,,Mumbai,upi,,3856418.00,0
TXN-0000006,C-00000001,ACC-C00000001-001,2024-10-23,2024-10-23T20:02:18.902Z,1481500.00,credit,salary_credit,,,Bangalore,neft,Infosys Limited,5337918.00,0
TXN-0000007,C-00000001,ACC-C00000001-001,2024-07-11,2024-07-12T04:27:30.584Z,5796.00,debit,retail,,Petrol Pump,Mumbai,card,,5332122.00,0
TXN-0000008,C-00000001,ACC-C00000001-001,2024-12-13,2024-12-13T22:04:15.998Z,481.00,debit,fee,,,Bangalore,branch,,5331641.00,0
TXN-0000009,C-00000001,ACC-C00000001-001,2024-11-30,2024-12-01T04:52:29.445Z,1481500.00,credit,salary_credit,,,Bangalore,neft,Infosys Limited,6813141.00,0
TXN-0000010,C-00000001,ACC-C00000001-001,2024-02-20,2024-02-21T07:59:03.950Z,194.00,debit,fee,,,Mumbai,branch,,6812947.00,0
TXN-0000011,C-00000001,ACC-C00000001-001,2024-02-08,2024-02-08T21:23:59.194Z,3515.00,debit,retail,,Zomato,Mumbai,card,,6809432.00,0
TXN-0000012,C-00000001,ACC-C00000001-001,2024-07-26,2024-07-26T21:46:00.943Z,574.00,debit,fee,,,Mumbai,branch,,6808858.00,0
TXN-0000013,C-00000001,ACC-C00000001-001,2024-03-16,2024-03-17T14:21:45.850Z,111.00,debit,fee,,,Mumbai,branch,,6808747.00,0
TXN-0000014,C-00000001,ACC-C00000001-001,2024-06-09,2024-06-10T12:54:28.496Z,2579.00,debit,retail,,Petrol Pump,Mumbai,card,,6806168.00,0
TXN-0000015,C-00000001,ACC-C00000001-001,2024-07-19,2024-07-19T21:27:33.900Z,260.00,debit,fee,,,Mumbai,branch,,6805908.00,0
TXN-0000016,C-00000001,ACC-C00000001-001,2024-04-02,2024-04-03T05:02:58.144Z,225.00,debit,fee,,,Mumbai,branch,,6805683.00,0
TXN-0000017,C-00000001,ACC-C00000001-001,2024-08-31,2024-09-01T01:21:19.881Z,455.00,debit,fee,,,Mumbai,branch,,6805228.00,0
TXN-0000018,C-00000001,ACC-C00000001-001,2024-04-06,2024-04-07T11:59:25.490Z,4259.00,debit,retail,,Zomato,Mumbai,card,,6800969.00,0
TXN-0000019,C-00000001,ACC-C00000001-001,2024-12-05,2024-12-06T09:36:14.511Z,3116.00,debit,atm,6211,,Bangalore,atm,,6797853.00,0
TXN-0000020,C-00000001,ACC-C00000001-001,2024-02-26,2024-02-27T06:36:36.644Z,1250000.00,credit,salary_credit,,,Mumbai,neft,TCS,8047853.00,0
TXN-0000021,C-00000001,ACC-C00000001-001,2024-09-13,2024-09-13T21:43:55.488Z,5505.00,debit,retail,,Flipkart,Mumbai,card,,8042348.00,0
TXN-0000022,C-00000001,ACC-C00000001-001,2024-12-09,2024-12-10T17:39:31.556Z,536.00,debit,fee,,,Bangalore,branch,,8041812.00,0
TXN-0000023,C-00000001,ACC-C00000001-001,2024-12-10,2024-12-11T03:29:02.793Z,1481500.00,credit,salary_credit,,,Bangalore,neft,Infosys Limited,9523312.00,0
TXN-0000024,C-00000001,ACC-C00000001-001,2024-05-06,2024-05-07T01:42:41.638Z,1250000.00,credit,salary_credit,,,Mumbai,neft,TCS,10773312.00,0
TXN-0000025,C-00000001,ACC-C00000001-001,2024-03-25,2024-03-26T04:42:43.302Z,26567.00,credit,transfer,,,Mumbai,upi,,10799879.00,0
TXN-0000026,C-00000001,ACC-C00000001-001,2024-09-03,2024-09-04T16:09:58.161Z,3499.00,debit,retail,,Petrol Pump,Mumbai,card,,10796380.00,0
TXN-0000027,C-00000001,ACC-C00000001-001,2024-02-29,2024-02-29T23:33:10.909Z,12641.00,debit,atm,6211,,Mumbai,atm,,10783739.00,0
TXN-0000028,C-00000001,ACC-C00000001-001,2024-02-03,2024-02-04T16:56:21.840Z,6742.00,debit,atm,6211,,Mumbai,atm,,10776997.00,0
TXN-0000029,C-00000001,ACC-C00000001-001,2024-03-21,2024-03-22T18:19:31.070Z,15566.00,debit,atm,6211,,Mumbai,atm,,10761431.00,0
